19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | A todos vocês, se apresentando agora como um soldado de vocês, a comando da Tereza Cristina, saudando Alceu como novo presidente da Frente Parlamentar, é que estamos à disposição de vocês para fazermos o Brasil que todos nós merecemos.
19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Muito obrigado a todos vocês. Deus nos abençoe.
19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df |  
19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Ouça a íntegra (04min48s) do discurso do Presidente.
19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df |  
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Brasília/DF, 19 de fevereiro de 2019
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df |  
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Boa noite a todos.
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | É motivo de satisfação e orgulho em ser convidado para um evento como esse, estar entre homens e mulheres que produzem, em grande parte responsáveis pelo nosso PIB, a locomotiva da nossa economia.
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | No momento em que eu esperava agradecer o apoio que tive do campo eu tive uma alegria redobrada, eu tive a satisfação de nomear a Senhora Tereza Cristina Ministra da Agricultura, nem vou falar do meu amigo Alceu aqui, de grandes embates e debates por vocês, pelo Brasil, dentro da Câmara dos Deputados.
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Cumprimento meu amigo e também contemporâneo de Academia Militar de Agulhas Negras, meu Vice, General Mourão.
20/02/2019 12h20 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | E dizer aos senhores quando durante a campanha tivemos uma ideia de unir os Ministérios de Agricultura e Meio Ambiente depois achamos melhor somar forças e temos o prazer de ter ao nosso lado Ricardo Sales, o homem amigo do trabalhador do campo, amigo do Brasil. Tive também a honra de poder indicar o Paulo Guedes, como Ministro da nossa economia, o amigo de vocês, o homem que tem desafios, mas cuja a responsabilidade é dividida entre todos nós.
